"variavel","tipo","n_diferenciacoes","transform_code"
"ANBIMA12_TJPOUP12",0,1,5
"ANP12_CALCO12",0,1,5
"ANP12_CDEPET12",0,1,5
"ANP12_CGASOL12",0,1,5
"ANP12_COLDIE12",0,1,5
"ANP12_PDPET12",0,1,5
"BM12_DEVM12",0,1,5
"BM12_DEXEMN12",0,2,6
"BM12_DINEMN12",0,2,6
"BM12_DTGFN12",0,2,6
"BM12_ERC12",0,1,5
"BM12_IPCACOM12",3,0,1
"BM12_IPCANCOM12",3,1,2
"BM12_IPCAPL12",3,1,2
"BM12_IPCAPLBD12",3,1,2
"BM12_IPCAPLBND12",1,0,1
"BM12_IPCAPLBSD12",3,1,2
"BM12_IPCAPLSER12",3,1,2
"BM12_IPCAPM12",3,1,2
"BM12_M0MN12",0,1,5
"BM12_NFEMNYS12",3,1,2
"BM12_PIB12",0,2,6
"BM12_RES12",0,2,6
"BM12_TJLP12",0,1,5
"BM12_TJOVER12",0,1,5
"BM12_TJTR12",2,1,2
"BPAG12_CF12",1,1,2
"BPAG12_CK12",1,1,2
"BPAG12_TC12",1,1,2
"CNI12_HTRAB12",0,1,5
"CNI12_NUCAP12",0,1,5
"CNI12_PEEMP12",0,2,6
"CONFAZ12_ICMSN12",0,1,5
"DIMAC_ECFLIQTOT12",0,2,6
"ELETRO12_CEECOM12",0,1,5
"ELETRO12_CEEIND12",0,1,5
"ELETRO12_CEERES12",0,1,5
"ELETRO12_CEETCOM12",0,1,5
"ELETRO12_CEETIND12",0,1,5
"ELETRO12_CEETRES12",0,1,5
"FCESP12_IIC12",0,1,5
"FCESP12_IICA12",0,1,5
"FCESP12_IICF12",0,1,5
"FIPE12_IPCFIPE12",0,2,6
"FUNCEX12_MDPT12",0,2,6
"FUNCEX12_MDVBCDGCE12",0,1,5
"FUNCEX12_MDVBCNDGCE12",0,1,5
"FUNCEX12_MDVBIGCE12",0,1,5
"FUNCEX12_MDVBKGCE12",0,1,5
"FUNCEX12_XPT12",0,2,6
"FUNCEX12_XVBCDGCE12",0,1,5
"FUNCEX12_XVBCNDGCE12",0,1,5
"FUNCEX12_XVBIGCE12",0,1,5
"FUNCEX12_XVBKGCE12",0,1,5
"GAC12_CABC12",0,1,5
"GAC12_CABCD12",0,1,5
"GAC12_CABCDDESSAZ12",0,1,5
"GAC12_CABCDESSAZ12",0,1,5
"GAC12_CABCND12",0,1,5
"GAC12_CABCNDDESSAZ12",0,1,5
"GAC12_CABI12",0,1,5
"GAC12_CABIDESSAZ12",0,1,5
"GAC12_FBKFCAMI12",0,1,5
"GAC12_FBKFCAMIDESSAZ12",0,1,5
"GAC12_INDFBCF12",0,1,5
"GAC12_INDFBCFCC12",0,1,5
"GAC12_INDFBCFCCDESSAZ12",0,1,5
"GAC12_INDFBCFDESSAZ12",0,1,5
"GAC12_SALMINDOL12",0,1,5
"GAC12_SALMINRE12",0,1,5
"GAC12_TCERMBCD12",0,1,5
"GAC12_TCERMBCND12",0,1,5
"GAC12_TCERMBI12",0,1,5
"GAC12_TCERMBK12",0,1,5
"GAC12_TCERMCOMB12",0,1,5
"GAC12_TCERMT12",0,1,5
"GAC12_TCERMTINPC12",0,1,5
"GAC12_TCERXB12",0,1,5
"GAC12_TCERXM12",0,1,5
"GAC12_TCERXMINPC12",0,1,5
"GAC12_TCERXSM12",0,1,5
"GAC12_TCERXT12",0,1,5
"GAC12_TCERXTINPC12",0,1,5
"IGP12_IGP1012",0,1,5
"IGP12_IGPM12",0,1,5
"IGP12_INCC12",0,2,6
"IGP12_IPA1012",0,1,5
"PRECOS12_INPC12",0,2,6
"PRECOS12_INPCAB12",3,0,1
"PRECOS12_INPCAR12",3,0,1
"PRECOS12_INPCCD12",3,1,2
"PRECOS12_INPCCO12",3,1,2
"PRECOS12_INPCED12",3,1,2
"PRECOS12_INPCHA12",1,1,2
"PRECOS12_INPCSC12",3,1,2
"PRECOS12_INPCTC12",3,1,2
"PRECOS12_INPCVE12",3,1,2
"PRECOS12_IPCAAB12",1,0,1
"PRECOS12_IPCAAR12",3,0,1
"PRECOS12_IPCACD12",1,1,2
"PRECOS12_IPCACO12",3,1,2
"PRECOS12_IPCAED12",3,1,2
"PRECOS12_IPCAHA12",3,1,2
"PRECOS12_IPCASC12",3,1,2
"PRECOS12_IPCATC12",3,1,2
"PRECOS12_IPCAVE12",3,1,2
"SEADE12_TDAGSP12",0,1,5
"SECEX12_MVTOT12",0,1,5
"SECEX12_XVTOT12",0,1,5
"SGS12_7836",0,2,6
"SRF12_II12",0,1,5
"SRF12_IOF12",0,1,5
"SRF12_IPI12",0,1,5
"PRECOS12_IPCA12",0,2,6
"JPM366_EMBI366",0,1,5
