"variable","modelo","horizonte","R2","MSFE","MAE","OOS_R2"
"JPM366_EMBI366","OLS",1,0.4818,0.5279,0.5347,0.4818
"JPM366_EMBI366","Ridge-1SRR",1,0.098,0.9188,0.6991,0.098
"JPM366_EMBI366","TVP-2SRR",1,0.4623,0.5477,0.5323,0.4623
"JPM366_EMBI366","OLS",2,0.375,0.6379,0.6223,0.375
"JPM366_EMBI366","Ridge-1SRR",2,0.007,1.0136,0.7374,0.007
"JPM366_EMBI366","TVP-2SRR",2,0.3059,0.7085,0.6294,0.3059
"JPM366_EMBI366","OLS",3,0.4516,0.5591,0.5885,0.4516
"JPM366_EMBI366","Ridge-1SRR",3,0.0077,1.0118,0.737,0.0077
"JPM366_EMBI366","TVP-2SRR",3,0.3644,0.6481,0.5997,0.3644
"JPM366_EMBI366","OLS",4,0.456,0.5551,0.5883,0.456
"JPM366_EMBI366","Ridge-1SRR",4,0.0041,1.0162,0.7392,0.0041
"JPM366_EMBI366","TVP-2SRR",4,0.482,0.5285,0.5285,0.482
"JPM366_EMBI366","OLS",5,0.3924,0.6243,0.6,0.3924
"JPM366_EMBI366","Ridge-1SRR",5,0.0045,1.0229,0.7413,0.0045
"JPM366_EMBI366","TVP-2SRR",5,0.2616,0.7588,0.6493,0.2616
"JPM366_EMBI366","OLS",6,0.3698,0.6474,0.6376,0.3698
"JPM366_EMBI366","Ridge-1SRR",6,0.0024,1.0248,0.7411,0.0024
"JPM366_EMBI366","TVP-2SRR",6,0.2134,0.8081,0.6687,0.2134
"JPM366_EMBI366","OLS",7,0.4352,0.5765,0.5899,0.4352
"JPM366_EMBI366","Ridge-1SRR",7,0.0111,1.0093,0.7355,0.0111
"JPM366_EMBI366","TVP-2SRR",7,0.2969,0.7176,0.6316,0.2969
"JPM366_EMBI366","OLS",8,0.3988,0.6144,0.5936,0.3988
"JPM366_EMBI366","Ridge-1SRR",8,0.0064,1.0153,0.737,0.0064
"JPM366_EMBI366","TVP-2SRR",8,0.3113,0.7037,0.6227,0.3113
"JPM366_EMBI366","OLS",9,0.3949,0.6183,0.5931,0.3949
"JPM366_EMBI366","Ridge-1SRR",9,0.0049,1.0169,0.7379,0.0049
"JPM366_EMBI366","TVP-2SRR",9,0.2696,0.7464,0.6401,0.2696
"JPM366_EMBI366","OLS",10,0.359,0.6545,0.6111,0.359
"JPM366_EMBI366","Ridge-1SRR",10,0.0044,1.0167,0.7374,0.0044
"JPM366_EMBI366","TVP-2SRR",10,0.2045,0.8123,0.6607,0.2045
"JPM366_EMBI366","OLS",11,0.4398,0.5694,0.5948,0.4398
"JPM366_EMBI366","Ridge-1SRR",11,0.0036,1.0128,0.7347,0.0036
"JPM366_EMBI366","TVP-2SRR",11,0.4984,0.5098,0.5235,0.4984
"JPM366_EMBI366","OLS",12,0.4416,0.5645,0.5829,0.4416
"JPM366_EMBI366","Ridge-1SRR",12,0.0039,1.007,0.7316,0.0039
"JPM366_EMBI366","TVP-2SRR",12,0.3875,0.6192,0.5855,0.3875
