"variable","horizonte","media","mediana","dp","p10","p25","p75","p90","pct_pos"
"JPM366_EMBI366",1,0.2416,0.2487,0.0186,0.2092,0.2446,0.2513,0.2561,1
"JPM366_EMBI366",2,0.3124,0.3238,0.0248,0.2676,0.3127,0.3265,0.3294,1
"JPM366_EMBI366",3,0.2935,0.3073,0.0287,0.2414,0.2903,0.3108,0.3127,1
"JPM366_EMBI366",4,0.2347,0.2377,0.014,0.2145,0.2331,0.243,0.2492,1
"JPM366_EMBI366",5,0.1486,0.1519,0.0135,0.129,0.1475,0.1566,0.162,1
"JPM366_EMBI366",6,0.049,0.0523,0.0135,0.0294,0.0479,0.0571,0.0624,1
"JPM366_EMBI366",7,0.0838,0.0868,0.0131,0.0651,0.0825,0.0916,0.0971,1
"JPM366_EMBI366",8,0.1629,0.1645,0.0146,0.141,0.162,0.1729,0.1774,1
"JPM366_EMBI366",9,0.2021,0.2039,0.0147,0.1801,0.2014,0.2122,0.2166,1
"JPM366_EMBI366",10,0.2162,0.2179,0.0146,0.1943,0.2154,0.2262,0.2308,1
"JPM366_EMBI366",11,0.2843,0.2928,0.0259,0.2421,0.2818,0.3038,0.3088,1
"JPM366_EMBI366",12,0.2484,0.2594,0.0266,0.204,0.2452,0.2654,0.2718,1
