"regressor","ar1"
"y_lag2",0.973170812507399
"intercept",0.963826414161534
"F1_lag1",0.951747958321886
"F2_lag1",0.947786014921591
"F3_lag2",0.937919578059396
"F4_lag2",0.920837223641024
"F4_lag1",0.916825685153124
"F1_lag2",0.916416484467801
"F3_lag1",0.912824998737591
"F5_lag1",0.912139913139658
"F5_lag2",0.910980859213871
"y_lag1",0.888293959918124
"F2_lag2",0.863025321770091
"F8_lag1",0.855598393739997
"F8_lag2",0.854454358008981
"F6_lag2",0.848023440002529
"F7_lag2",0.802075376678971
"F6_lag1",0.783366135160248
"F7_lag1",0.710514930426779
