"h","periodo","RMSE_Ridge","RMSE_2SRR","Ratio","n"
1,"Full Sample",0.270201313340398,0.324857113406792,1.2022780696019,311
1,"Pre-GFC",0.27735940816265,0.257779940202385,0.929407593959162,101
1,"GFC",0.506376792622982,0.528904616052556,1.04448826201707,19
1,"Post-GFC_Pre-COVID",0.192202156367249,0.216620300363284,1.12704406889889,127
1,"COVID",0.30134765145169,0.810648334849742,2.69007682968354,17
1,"High Inflation",0.369853928902299,0.366279950694619,0.990336784529266,24
1,"Post-Inflation",0.154027378776729,0.13880161599232,0.901148984645903,23
3,"Full Sample",0.705699313573993,0.730924377548635,1.03574477612411,311
3,"Pre-GFC",0.627603028500411,0.523570853395689,0.834238889265249,101
3,"GFC",1.5296054684794,1.67155758608846,1.09280309238838,19
3,"Post-GFC_Pre-COVID",0.479075357572915,0.581345231700432,1.21347345988663,127
3,"COVID",1.09522554885672,1.28601034070226,1.17419680543857,17
3,"High Inflation",0.831588254770667,0.716848763379867,0.862023674898532,24
3,"Post-Inflation",0.442720868794562,0.295473291950445,0.66740312638742,23
6,"Full Sample",1.19697642845173,0.980721181270608,0.819332075351857,311
6,"Pre-GFC",0.920805234425038,0.593170043948671,0.64418622068222,101
6,"GFC",2.50155963498031,1.24431201405495,0.49741449160565,19
6,"Post-GFC_Pre-COVID",0.908751754964817,0.98778434039278,1.08696828919029,127
6,"COVID",2.00999179905692,2.17602941215913,1.08260611470162,17
6,"High Inflation",1.56491147973668,1.06959765234602,0.683487638882933,24
6,"Post-Inflation",0.615575338579679,0.316188425779331,0.513646999746407,23
12,"Full Sample",2.2000327247719,1.32893359984046,0.604051741993176,311
12,"Pre-GFC",1.69587176812041,0.679888414907078,0.40090791514303,101
12,"GFC",2.29446691790508,1.85700977961073,0.809342581982501,19
12,"Post-GFC_Pre-COVID",1.94922520028712,0.969320564047311,0.497285056598144,127
12,"COVID",4.76139633841967,3.79393917183919,0.796812300884495,17
12,"High Inflation",3.05952989615691,1.65929416938255,0.542336314957012,24
12,"Post-Inflation",0.982174012895221,0.549112817784897,0.559078951973326,23
