"h","periodo","n","RMSE_Ridge","RMSE_2SRR","Ratio","Vantagem_2SRR"
1,"Full Sample",311,0.2702,0.32486,1.2023,FALSE
1,"Pre-GFC",101,0.27736,0.25778,0.9294,TRUE
1,"GFC",19,0.50638,0.5289,1.0445,FALSE
1,"Post-GFC",127,0.1922,0.21662,1.127,FALSE
1,"COVID",17,0.30135,0.81065,2.6901,FALSE
1,"High Inflation",24,0.36985,0.36628,0.9903,TRUE
3,"Full Sample",311,0.7057,0.73092,1.0357,FALSE
3,"Pre-GFC",101,0.6276,0.52357,0.8342,TRUE
3,"GFC",19,1.52961,1.67156,1.0928,FALSE
3,"Post-GFC",127,0.47908,0.58135,1.2135,FALSE
3,"COVID",17,1.09523,1.28601,1.1742,FALSE
3,"High Inflation",24,0.83159,0.71685,0.862,TRUE
6,"Full Sample",311,1.19698,0.98072,0.8193,TRUE
6,"Pre-GFC",101,0.92081,0.59317,0.6442,TRUE
6,"GFC",19,2.50156,1.24431,0.4974,TRUE
6,"Post-GFC",127,0.90875,0.98778,1.087,FALSE
6,"COVID",17,2.00999,2.17603,1.0826,FALSE
6,"High Inflation",24,1.56491,1.0696,0.6835,TRUE
12,"Full Sample",311,2.20003,1.32893,0.6041,TRUE
12,"Pre-GFC",101,1.69587,0.67989,0.4009,TRUE
12,"GFC",19,2.29447,1.85701,0.8093,TRUE
12,"Post-GFC",127,1.94923,0.96932,0.4973,TRUE
12,"COVID",17,4.7614,3.79394,0.7968,TRUE
12,"High Inflation",24,3.05953,1.65929,0.5423,TRUE
