"h","regressor","mean_last24","sd_last24"
1,"intercept",0.380118123254441,0.00498162591413809
1,"y_lag1",-0.169387442915962,0.00964650805288735
1,"y_lag2",-0.12603378042671,0.00946268297683176
1,"F1_lag1",-0.014388384847701,0.000424824436917884
1,"F2_lag1",0.0371592857293569,0.00160422246122208
3,"intercept",1.16697020161988,0.0688197381619921
3,"y_lag1",-0.976615192467577,0.192343546149844
3,"y_lag2",-0.493061777858989,0.104721829638229
3,"F1_lag1",-0.0492932885429277,0.00313613300399039
3,"F2_lag1",0.0147029180765245,0.0128867203610129
6,"intercept",2.65315258612199,0.0585097392882259
6,"y_lag1",-1.81719005209882,0.176456390138081
6,"y_lag2",-1.16879721742554,0.35794661506959
6,"F1_lag1",-0.0656625244091915,0.00596317594831872
6,"F2_lag1",0.0906988394085061,0.0130271331326835
12,"intercept",5.04641131368221,0.290155796223274
12,"y_lag1",-1.90209212783496,0.444146445266927
12,"y_lag2",-1.85846399469703,0.403325357158531
12,"F1_lag1",-0.0595027315990128,0.00750466478863199
12,"F2_lag1",-0.0300925657178792,0.0165067864004431
