"h","model","RMSE","ratio_RW","rank"
1,"AR",0.278862314264859,0.904818998545794,9
1,"AR_BIC",0.280505633189355,0.910151042739266,10
1,"AdaLASSO",0.265536925029391,0.86158237342112,3
1,"Bagging",0.287138370795001,0.93167215438097,11
1,"CSR",0.261135641116607,0.847301615145197,2
1,"factor",0.272349756953494,0.883687833511982,7
1,"LASSO",0.256502132020141,0.832267360439718,1
1,"RF",0.271705538486137,0.881597550678265,6
1,"Ridge",0.278814883680356,0.904665101472669,8
1,"T.Factor",0.269208661964016,0.87349598514334,4
1,"2SRR",0.290746342142678,0.943378867172881,12
1,"rw",0.308196793737798,1,13
1,"Ridge_Coulombe",0.270201313340398,0.876716821299171,5
1,"2SRR_Coulombe",0.324857113406792,1.05405740749908,14
3,"AR",1.14975519298422,1.07559422261184,6
3,"AR_BIC",1.15394945617072,1.07951794940084,7
3,"AdaLASSO",1.15513277855214,1.08062494567685,8
3,"Bagging",1.1964639120549,1.11929015778533,14
3,"CSR",1.16179686813037,1.08685919127369,10
3,"factor",1.13450785236117,1.06133035880464,4
3,"LASSO",1.15575375531483,1.08120586848755,9
3,"RF",1.17112250489252,1.09558331018592,13
3,"Ridge",1.16201302469955,1.0870614054132,11
3,"T.Factor",1.14745492955718,1.07344232969785,5
3,"2SRR",1.16984051302939,1.09438400876085,12
3,"rw",1.06894883666472,1,3
3,"Ridge_Coulombe",0.705699313573993,0.66018062733094,1
3,"2SRR_Coulombe",0.730924377548635,0.68377863605636,2
6,"AR",4.99088805933746,1.01440837926419,4
6,"AR_BIC",4.99897414674451,1.01605189334899,8
6,"AdaLASSO",4.99094000362712,1.01441893704911,5
6,"Bagging",4.99977684042229,1.01621504250863,9
6,"CSR",4.99716347881251,1.01568387132557,6
6,"factor",5.00147378277313,1.01655994957113,11
6,"LASSO",5.00123919389228,1.01651226889315,10
6,"RF",5.01290067797659,1.01888248978954,14
6,"Ridge",4.99787412202153,1.01582831103596,7
6,"T.Factor",5.00780425774114,1.01784663177597,12
6,"2SRR",5.01208610679859,1.01871692650327,13
6,"rw",4.91999884992829,1,3
6,"Ridge_Coulombe",1.19697642845173,0.243287948831365,2
6,"2SRR_Coulombe",0.980721181270608,0.199333620024098,1
12,"AR",71.9750331376921,1.00102021240715,5
12,"AR_BIC",71.9855603673107,1.00116662386636,10
12,"AdaLASSO",71.9788226646021,1.00107291669733,6
12,"Bagging",71.9852891293455,1.00116285152096,9
12,"CSR",71.9696336372014,1.00094511679562,4
12,"factor",71.98685071477,1.00118456986557,12
12,"LASSO",71.9876545736397,1.00119574983926,13
12,"RF",71.9803444081766,1.00109408092623,8
12,"Ridge",71.9801501880515,1.00109137973579,7
12,"T.Factor",71.9882060827954,1.00120342016309,14
12,"2SRR",71.9862331090819,1.00117598027902,11
12,"rw",71.9016781535451,1,3
12,"Ridge_Coulombe",2.2000327247719,0.0305977938383267,2
12,"2SRR_Coulombe",1.32893359984046,0.0184826506691893,1
