"Target","Horizon","AR","Ridge","TVP-Ridge","RF"
"GDP",1,1.11022,0.77352,0.64001,0.70454
"GDP",3,1.2098,0.98894,0.75931,0.85551
"GDP",6,1.35046,1.24229,0.82542,1.03999
"GDP",12,1.87307,1.42695,1.25066,1.34408
"INFLATION",1,1.01756,0.72971,0.69751,0.69237
"INFLATION",3,1.15131,1.09917,0.78045,0.82559
"INFLATION",6,1.4649,1.29357,0.73499,1.09177
"INFLATION",12,2.09821,1.64406,1.29784,1.35638
"IR",1,1.05896,0.83393,0.60733,0.7225
"IR",3,1.24795,1.01143,0.80403,0.84438
"IR",6,1.46908,1.20537,0.92216,0.93771
"IR",12,1.8013,1.61638,1.22402,1.54658
"SPREAD",1,1.21335,0.89204,0.63035,0.69582
"SPREAD",3,1.26815,0.9445,0.70709,0.87851
"SPREAD",6,1.43988,1.12203,0.92431,1.13081
"SPREAD",12,2.24284,1.62608,1.28357,1.51422
