"var_idx","fator","sd_beta","mean_abs"
7,"PC7",2436.7563206491,2327.2345188214
8,"PC8",1818.55203712048,1434.77414550334
9,"PC9",1597.72995652695,1461.26092537074
14,"PC14",1568.37535525654,1651.65842960186
10,"PC10",1513.94471116277,1356.39663827666
13,"PC13",1413.38618475909,1297.30294246735
12,"PC12",1404.29520264379,1148.86659464074
5,"PC5",1375.61507038318,1186.08970916699
6,"PC6",1266.34030207408,925.259375307922
11,"PC11",1154.59097370819,1083.34798235478
19,"PC19",1149.33157707845,955.473267192053
15,"PC15",1120.82127987087,1015.96837033154
16,"PC16",1108.75925535598,924.00698649043
24,"PC24",1052.92383838403,919.895358931665
4,"PC4",1047.87860132265,849.428587266335
26,"PC26",1039.73775768824,936.557563949518
30,"PC30",1033.1110579269,783.949621804295
17,"PC17",1001.1088104648,854.818380000223
27,"PC27",999.95988408916,832.715833677025
21,"PC21",984.772770042945,819.538889730771
20,"PC20",978.077124556735,846.809280593409
18,"PC18",962.696667854879,763.853107404044
2,"PC2",920.976477233391,621.03544652547
23,"PC23",884.46127959916,828.074317869897
25,"PC25",872.451296876325,726.427834962853
3,"PC3",851.121421378011,624.661863237888
31,"PC31",845.326926488409,753.045721039872
28,"PC28",841.150752385373,747.589612556788
32,"PC32",832.540810801837,674.790498450623
29,"PC29",824.937436828974,783.825656191995
33,"PC33",807.796958075268,626.143599070903
36,"PC36",766.344943820998,608.962110966004
22,"PC22",751.826915995526,620.04010779442
35,"PC35",694.21795317473,635.094478973146
1,"PC1",692.056939977281,584.906169137695
34,"PC34",677.90532536935,595.936034951388
38,"PC38",674.112044600395,567.301036578954
39,"PC39",584.168263633199,467.431882118784
40,"PC40",573.223304765941,470.525184578413
37,"PC37",569.186736037819,476.022313850182
41,"PC41",8.03120859943323,4.84543864592327
