"var_idx","fator","contrib_media_pct"
7,"PC7",6.91415638378946
14,"PC14",4.31655450880186
8,"PC8",4.26165716107018
9,"PC9",4.02798235914546
10,"PC10",3.86681107831923
13,"PC13",3.77712777791662
5,"PC5",3.25539277174803
12,"PC12",3.22007900336666
11,"PC11",3.04105560161417
15,"PC15",2.93230658826667
19,"PC19",2.78633268473278
16,"PC16",2.67098083309076
6,"PC6",2.5883954308518
26,"PC26",2.57721714591771
24,"PC24",2.50403281874052
17,"PC17",2.39019386860229
4,"PC4",2.33772872390712
20,"PC20",2.32017324021946
23,"PC23",2.27605177607301
27,"PC27",2.236303436944
29,"PC29",2.19931153497407
21,"PC21",2.14707929008578
28,"PC28",2.12099297746234
18,"PC18",2.10775673744082
31,"PC31",2.08421184933773
25,"PC25",2.04527178595955
30,"PC30",2.03791278119691
32,"PC32",1.82421963773844
35,"PC35",1.78093250256766
22,"PC22",1.74971518093919
3,"PC3",1.72875844489757
34,"PC34",1.72531726502946
33,"PC33",1.71132227710266
1,"PC1",1.69912134145878
36,"PC36",1.69800718871764
2,"PC2",1.59475801818784
38,"PC38",1.51974778618744
39,"PC39",1.31759658713233
37,"PC37",1.30747080922189
40,"PC40",1.28644558830719
41,"PC41",0.0135172229369377
